"Longitude","Latitude","Date","State","Temp","CO","NO2","SO2","AtmPres"
-119.7462,36.17,"2014-09-24","California",22.84,0.31,9.87,0.46,969.62
-119.7462,36.17,"2014-09-25","California",22.04,0.29,8.74,0.37,972.21
-119.7462,36.17,"2014-09-26","California",20.45,0.28,7.39,0.3,966.89
-119.7462,36.17,"2014-09-27","California",17.87,0.26,5.6,0.25,965.91
-119.7462,36.17,"2014-09-28","California",17.54,0.26,5.13,0.28,966.93
-119.7462,36.17,"2014-09-29","California",18.68,0.28,8.9,0.31,968.85
-119.7462,36.17,"2014-09-30","California",20.11,0.32,11.36,0.47,968.45
-119.7462,36.17,"2014-10-01","California",20.52,0.32,11.49,0.42,951.82
-119.7462,36.17,"2014-10-02","California",22.57,0.38,15.16,0.52,976.95
-119.7462,36.17,"2014-10-03","California",23.66,0.45,18.87,0.69,978.39
-119.7462,36.17,"2014-10-04","California",24.25,0.45,16.29,0.8,976.18
-119.7462,36.17,"2014-10-05","California",23.95,0.41,13.31,0.81,974.56
-119.7462,36.17,"2014-10-06","California",23.31,0.42,16.72,0.76,973.55
-119.7462,36.17,"2014-10-07","California",22.51,0.41,16.22,0.64,972.5
-119.7462,36.17,"2014-10-08","California",21.59,0.36,13.31,0.59,971.87
-119.7462,36.17,"2014-10-09","California",20.78,0.28,9.09,0.4,973.44
-119.7462,36.17,"2014-10-10","California",20.01,0.29,10.14,0.36,975.29
-119.7462,36.17,"2014-10-11","California",20.43,0.32,10.47,0.41,975.53
-119.7462,36.17,"2014-10-12","California",20.87,0.34,9.17,0.45,974.35
-119.7462,36.17,"2014-10-13","California",20.82,0.36,12.49,0.64,975.72
-119.7462,36.17,"2014-10-14","California",19.58,0.32,8.57,0.31,973.62
-119.7462,36.17,"2014-10-15","California",18.79,0.3,7.77,0.35,975.17
-119.7462,36.17,"2014-10-16","California",17.63,0.34,9.99,0.43,975.51
-119.7462,36.17,"2014-10-17","California",17.62,0.35,10.62,0.44,974.63
-119.7462,36.17,"2014-10-18","California",18.37,0.35,9.58,0.5,973.91
-119.7462,36.17,"2014-10-19","California",18.83,0.35,8.3,0.4,972.8
-119.7462,36.17,"2014-10-20","California",18.68,0.33,9.08,0.37,973.74
-119.7462,36.17,"2014-10-21","California",17.68,0.34,10,0.4,975.24
-119.7462,36.17,"2014-10-22","California",18.25,0.44,14.89,0.54,976.28
-119.7462,36.17,"2014-10-23","California",19.23,0.49,17.38,0.55,976.46
-119.7462,36.17,"2014-10-24","California",19.72,0.48,16.03,0.58,975.47
-119.7462,36.17,"2014-10-25","California",18.71,0.37,8.85,0.34,976.82
-119.7462,36.17,"2014-10-26","California",16.42,0.32,6.03,0.27,976.95
-119.7462,36.17,"2014-10-27","California",15.6,0.37,11.17,0.4,975.89
-119.7462,36.17,"2014-10-28","California",16.56,0.44,15.23,0.59,977.22
-119.7462,36.17,"2014-10-29","California",18.25,0.51,18.01,0.67,977.58
-119.7462,36.17,"2014-10-30","California",18.03,0.49,15.98,0.72,973.77
-119.7462,36.17,"2014-10-31","California",16.24,0.35,9.37,0.29,970.63
-119.7462,36.17,"2014-11-01","California",12.89,0.31,6.18,0.18,972.32
-119.7462,36.17,"2014-11-02","California",12.1,0.37,8.32,0.27,977.62
-119.7462,36.17,"2014-11-03","California",12.69,0.44,13.04,0.4,980.85
-119.7462,36.17,"2014-11-04","California",14.45,0.47,15.41,0.63,982.43
-119.7462,36.17,"2014-11-05","California",17.23,0.5,18.21,0.74,980.95
-119.7462,36.17,"2014-11-06","California",18.09,0.48,18.91,0.89,981.5
-119.7462,36.17,"2014-11-07","California",17.55,0.5,18.99,0.66,980.09
-119.7462,36.17,"2014-11-08","California",17.86,0.53,17.68,0.67,978.23
-119.7462,36.17,"2014-11-09","California",16.85,0.48,13.46,0.65,973.37
-119.7462,36.17,"2014-11-10","California",15.74,0.38,11.82,0.42,970.17
-119.7462,36.17,"2014-11-11","California",14.77,0.3,8.61,0.29,972.42
-119.7462,36.17,"2014-11-12","California",14.52,0.3,10.08,0.33,974.68
-119.7462,36.17,"2014-11-13","California",14.72,0.33,11.22,0.25,976.06
-119.7462,36.17,"2014-11-14","California",14.8,0.34,10.53,0.26,976.44
-119.7462,36.17,"2014-11-15","California",13.69,0.36,9.48,0.31,977.74
-119.7462,36.17,"2014-11-16","California",12.57,0.34,8.07,0.41,982.21
-119.7462,36.17,"2014-11-17","California",12.16,0.41,13.81,0.6,981.82
-119.7462,36.17,"2014-11-18","California",12.89,0.49,17.65,0.89,980.45
-119.7462,36.17,"2014-11-19","California",13.32,0.47,16.69,0.44,978.74
-119.7462,36.17,"2014-11-20","California",12.47,0.4,13.32,0.41,977.1
-119.7462,36.17,"2014-11-21","California",12.8,0.34,10.94,0.47,976.55
-119.7462,36.17,"2014-11-22","California",13.38,0.37,10.19,0.34,978.45
-119.7462,36.17,"2014-11-23","California",13.27,0.39,9.34,0.32,982.31
